,Date,Open,High,Low,Close,Volume,Company
228,16-Jan-18,339.9,347.73,331.33,335.16,12305475,boeing
229,17-Jan-18,337.73,352.23,336.41,351.01,9699917,boeing
230,18-Jan-18,350.7,350.83,339.15,340.16,9458634,boeing
231,19-Jan-18,341.67,344,335.75,337.73,7264401,boeing
232,22-Jan-18,335.29,341.38,332.04,338,6792870,boeing
233,23-Jan-18,338.34,338.94,334.81,335.59,4537784,boeing
234,24-Jan-18,336.2,338.99,334.14,334.69,4205351,boeing
235,25-Jan-18,336.21,343.62,335.3,343.11,4747478,boeing
236,26-Jan-18,344.33,345.98,341.25,343.22,5236260,boeing
237,29-Jan-18,341.23,344.48,340.1,340.82,3324878,boeing
238,30-Jan-18,339.17,339.98,334.16,337.71,4983055,boeing
239,31-Jan-18,360.5,360.97,351.62,354.37,11409626,boeing
240,1-Feb-18,352.95,361.45,352.04,356.94,6067581,boeing
241,2-Feb-18,354,355.2,348.7,348.91,5486074,boeing
242,5-Feb-18,342.67,350,317.39,328.88,10511290,boeing
243,6-Feb-18,320,341.67,317.65,340.91,11935140,boeing
244,7-Feb-18,340.52,353.59,339.87,348.12,7946670,boeing
245,8-Feb-18,348,349,329.4,329.66,8295905,boeing
246,9-Feb-18,333.55,337.81,319.25,332.83,8832974,boeing
247,12-Feb-18,336.57,347.75,335.13,343.8,6885010,boeing
248,13-Feb-18,340.45,347.88,340.29,343.16,4030233,boeing
249,14-Feb-18,341.34,347.43,341.17,344.85,4340180,boeing
250,15-Feb-18,348.47,356.55,348.05,356.46,5827488,boeing
251,16-Feb-18,356.59,359.5,353.51,355.04,5211615,boeing
252,20-Feb-18,352,357.79,351.4,353.35,4303395,boeing
253,21-Feb-18,352.56,360.81,351.75,352.37,5258555,boeing
254,22-Feb-18,354.65,358.07,352.64,355.92,3414299,boeing
255,23-Feb-18,358.18,358.77,353.07,356.66,3355378,boeing
256,26-Feb-18,359.5,364.05,358.21,363.48,4148132,boeing
257,27-Feb-18,364.6,369.89,363.3,364.64,4774134,boeing
258,28-Feb-18,366.8,371.6,362.21,362.21,5472898,boeing
259,1-Mar-18,362.33,362.74,346.4,349.69,8977971,boeing
260,2-Mar-18,341.82,346.09,335.3,344.67,10021332,boeing
261,5-Mar-18,338,354.77,336.61,352.75,8140161,boeing
262,6-Mar-18,354.24,355.21,346.02,348.92,4888282,boeing
263,7-Mar-18,341.52,348.41,339.5,347.04,4575690,boeing
264,8-Mar-18,349.51,352.5,343.95,348.73,4319915,boeing
265,9-Mar-18,352.65,354.89,350.23,354.52,3538348,boeing
266,12-Mar-18,355.2,355.23,343.26,344.19,6036253,boeing
267,13-Mar-18,345.32,347.88,337.61,338.67,5443789,boeing
268,14-Mar-18,339.79,340.52,322.3,330.26,13057904,boeing
269,15-Mar-18,332.3,332.92,322.91,329.98,8766002,boeing
270,10-Jan-18,1107,1112.78,1103.98,1110.14,1036655,google
271,11-Jan-18,1112.31,1114.85,1106.48,1112.05,1121216,google
272,12-Jan-18,1110.1,1131.3,1108.01,1130.65,1929306,google
273,16-Jan-18,1140.31,1148.88,1126.66,1130.7,1823100,google
274,17-Jan-18,1136.36,1139.32,1123.49,1139.1,1391510,google
275,18-Jan-18,1139.35,1140.58,1124.46,1135.97,1374873,google
276,19-Jan-18,1138.03,1143.78,1132.5,1143.5,1527554,google
277,22-Jan-18,1143.82,1166.88,1141.82,1164.16,1477520,google
278,23-Jan-18,1170.62,1178.51,1167.25,1176.17,1956865,google
279,24-Jan-18,1184.98,1187.05,1167.4,1171.29,1856429,google
280,25-Jan-18,1180.71,1185,1171.84,1182.14,1499247,google
281,26-Jan-18,1187.53,1187.56,1168.03,1187.56,2108502,google
282,29-Jan-18,1188,1198,1184.06,1186.48,1574708,google
283,30-Jan-18,1177.72,1187.93,1174.51,1177.37,1866883,google
284,31-Jan-18,1183.81,1186.32,1172.1,1182.22,1801135,google
285,1-Feb-18,1175.99,1187.45,1169.36,1181.59,3675709,google
286,2-Feb-18,1127.42,1131.3,1111.17,1119.2,5892122,google
287,5-Feb-18,1100.61,1114.99,1056.74,1062.39,4177469,google
288,6-Feb-18,1033.98,1087.38,1030.01,1084.43,3831524,google
289,7-Feb-18,1084.97,1086.53,1054.62,1055.41,2597094,google
290,8-Feb-18,1059.87,1063.93,1004.7,1007.71,3339601,google
291,9-Feb-18,1025.88,1051.72,997,1046.27,4917970,google
292,12-Feb-18,1056.67,1065.57,1045.49,1054.56,2812011,google
293,13-Feb-18,1050,1061.22,1046.92,1054.14,1579258,google
294,14-Feb-18,1054.32,1075.47,1049.8,1072.7,2065202,google
295,15-Feb-18,1083.45,1094.1,1067.23,1091.36,1869763,google
296,16-Feb-18,1093.38,1108.31,1091.55,1095.5,1997405,google
297,20-Feb-18,1092.76,1116.29,1090,1103.59,1687656,google
298,21-Feb-18,1109.1,1136.2,1107.51,1113.75,2074321,google
299,22-Feb-18,1119.17,1125.46,1105.15,1109.9,1400536,google
300,23-Feb-18,1118.66,1129,1108.44,1128.09,1264638,google
301,26-Feb-18,1131.86,1144.2,1129.34,1143.7,1545619,google
302,27-Feb-18,1143.7,1144.25,1116.79,1117.51,2148159,google
303,28-Feb-18,1122,1127.65,1103,1103.92,2464619,google
304,1-Mar-18,1109.54,1111.27,1067.28,1071.41,2766856,google
305,2-Mar-18,1057.98,1086.89,1050.11,1084.14,2508145,google
306,5-Mar-18,1078.13,1101.18,1072.27,1094.76,1432369,google
307,6-Mar-18,1102.1,1105.63,1094.5,1100.9,1169068,google
308,7-Mar-18,1092.82,1116.2,1089.91,1115.04,1537429,google
309,8-Mar-18,1117.2,1131.44,1117.2,1129.38,1693133,google
310,9-Mar-18,1139.5,1161,1134.29,1160.84,2133087,google
311,12-Mar-18,1165.05,1178.16,1159.2,1165.93,2196131,google
312,13-Mar-18,1171.83,1178,1134.57,1139.91,2156999,google
313,14-Mar-18,1145.8,1159.76,1142.35,1148.89,2093482,google
314,15-Mar-18,1149.57,1162.5,1135.66,1150.61,1669094,google
315,10-Jan-18,30.37,30.73,30.31,30.55,63532811,boa
316,11-Jan-18,30.66,30.69,30.45,30.66,59318309,boa
317,12-Jan-18,30.88,31.2,30.77,31.19,66371596,boa
318,16-Jan-18,31.74,31.79,31.03,31.24,104467922,boa
319,17-Jan-18,31,31.29,30.34,31.18,124382905,boa
320,18-Jan-18,31.33,31.71,31.21,31.48,76463847,boa
321,19-Jan-18,31.58,31.74,31.46,31.72,66490985,boa
322,22-Jan-18,31.67,31.94,31.58,31.94,53848818,boa
323,23-Jan-18,31.86,32.13,31.78,31.92,56531378,boa
324,24-Jan-18,32.01,32.21,31.82,32.09,81585015,boa
325,25-Jan-18,32.24,32.25,31.93,32.09,62265824,boa
326,26-Jan-18,32.11,32.2,31.95,32.2,52699881,boa
327,29-Jan-18,32.25,32.45,32.18,32.28,59126457,boa
328,30-Jan-18,31.95,32.2,31.85,31.88,60555757,boa
329,31-Jan-18,32.05,32.29,31.95,32,65734118,boa
330,1-Feb-18,32,32.5,31.96,32.5,62367448,boa
331,2-Feb-18,32.44,32.67,31.86,31.95,96971924,boa
332,5-Feb-18,31.12,31.98,29.15,30.26,155908256,boa
333,6-Feb-18,29.41,31.29,29.3,31.2,165878399,boa
334,7-Feb-18,31.12,31.74,30.86,31.25,101180515,boa
335,8-Feb-18,31.31,31.38,29.73,29.74,128981328,boa
336,9-Feb-18,30.17,30.61,29.13,30.33,143071053,boa
337,12-Feb-18,30.62,31.44,30.54,31.12,95055132,boa
338,13-Feb-18,31.04,31.4,30.76,31.18,76727349,boa
339,14-Feb-18,31.17,32.03,31.06,32,97251515,boa
340,15-Feb-18,32.39,32.47,31.87,32.21,68117398,boa
341,16-Feb-18,32,32.26,31.92,31.97,62137801,boa
342,20-Feb-18,31.96,32.16,31.75,31.93,58573929,boa
343,21-Feb-18,31.8,32.36,31.77,31.87,72210258,boa
344,22-Feb-18,31.99,32.14,31.59,31.69,64749717,boa
345,23-Feb-18,31.8,32.06,31.76,32.03,53626263,boa
346,26-Feb-18,32.17,32.44,32.05,32.42,61796254,boa
347,27-Feb-18,32.32,32.85,32.32,32.33,69235524,boa
348,28-Feb-18,32.49,32.77,32.09,32.1,72043995,boa
349,1-Mar-18,32.07,32.34,31.36,31.48,90547117,boa
350,2-Mar-18,31.12,31.69,30.63,31.63,82739099,boa
351,5-Mar-18,31.35,32.36,31.16,32.13,70543121,boa
352,6-Mar-18,32.3,32.32,31.95,32.11,50832605,boa
353,7-Mar-18,31.7,32.23,31.58,32.18,52763869,boa
354,8-Mar-18,32.19,32.27,31.81,32.2,53139846,boa
355,9-Mar-18,32.47,32.73,32.4,32.72,73905831,boa
356,12-Mar-18,32.69,33.05,32.64,32.84,59446732,boa
357,13-Mar-18,32.97,32.99,32.3,32.36,63347502,boa
358,14-Mar-18,32.55,32.55,31.93,32.14,58011350,boa
359,15-Mar-18,32.29,32.34,31.93,32.1,41964199,boa
360,10-Jan-18,186.94,187.89,185.63,187.84,10529894,facebook
361,11-Jan-18,188.4,188.4,187.38,187.77,9588587,facebook
362,12-Jan-18,178.06,181.48,177.4,179.37,77551299,facebook
363,16-Jan-18,181.5,181.75,178.04,178.39,36183842,facebook
364,17-Jan-18,179.26,179.32,175.8,177.6,27992376,facebook
365,18-Jan-18,178.13,180.98,177.08,179.8,23304901,facebook
366,19-Jan-18,180.85,182.37,180.17,181.29,26826540,facebook
367,22-Jan-18,180.8,185.39,180.41,185.37,21059464,facebook
368,23-Jan-18,186.05,189.55,185.55,189.35,25678781,facebook
369,24-Jan-18,189.89,190.66,186.52,186.55,24334548,facebook
370,25-Jan-18,187.95,188.62,186.6,187.48,17377740,facebook
371,26-Jan-18,187.75,190,186.81,190,17759212,facebook
372,29-Jan-18,188.75,188.84,185.63,185.98,20453172,facebook
373,30-Jan-18,187.62,188.18,181.84,187.12,20858556,facebook
374,31-Jan-18,188.37,189.83,185.22,186.89,43275144,facebook
375,1-Feb-18,188.22,195.32,187.89,193.09,54211293,facebook
376,2-Feb-18,192.04,194.21,189.98,190.28,26677484,facebook
377,5-Feb-18,186.93,190.61,180.61,181.26,33128206,facebook
378,6-Feb-18,178.57,185.77,177.74,185.31,37758505,facebook
379,7-Feb-18,184.15,185.08,179.95,180.18,27601886,facebook
380,8-Feb-18,181.01,181.84,171.48,171.58,38478321,facebook
381,9-Feb-18,174.76,176.9,167.18,176.11,39887626,facebook
382,12-Feb-18,177.06,177.54,171.84,176.41,32092133,facebook
383,13-Feb-18,175.62,175.97,173.1,173.15,21809350,facebook
384,14-Feb-18,173.45,179.81,173.21,179.52,28929704,facebook
385,15-Feb-18,180.5,180.5,176.84,179.96,20922120,facebook
386,16-Feb-18,178.99,179.88,176.3,177.36,21015610,facebook
387,20-Feb-18,175.77,177.95,175.11,176.01,21204921,facebook
388,21-Feb-18,176.71,181.27,176.4,177.91,23200804,facebook
389,22-Feb-18,178.7,180.21,177.41,178.99,18464192,facebook
390,23-Feb-18,179.9,183.39,179.51,183.29,19007288,facebook
391,26-Feb-18,184.58,185.66,183.22,184.93,17599703,facebook
392,27-Feb-18,184.45,184.7,181.46,181.46,15849806,facebook
393,28-Feb-18,182.3,182.88,178.14,178.32,18783039,facebook
394,1-Mar-18,179.01,180.12,174.41,175.94,23201626,facebook
395,2-Mar-18,173.29,177.11,172.99,176.62,20025905,facebook
396,5-Mar-18,176.2,181.15,175.89,180.4,16189280,facebook
397,6-Mar-18,181.78,182.38,179.11,179.78,15086784,facebook
398,7-Mar-18,178.74,183.82,178.07,183.71,19097293,facebook
399,8-Mar-18,183.56,184.4,181.45,182.34,17225946,facebook
400,9-Mar-18,183.91,185.51,183.21,185.23,18526292,facebook
401,12-Mar-18,185.23,186.1,184.22,184.76,15037350,facebook
402,13-Mar-18,185.61,185.99,181.11,181.88,18067477,facebook
403,14-Mar-18,182.6,184.25,181.85,184.19,16821728,facebook
404,15-Mar-18,183.24,184,182.19,183.86,15645035,facebook
405,10-Jan-18,109.47,110.7,109.39,110.25,15834468,jp morgan
406,11-Jan-18,110.67,110.93,110.05,110.84,13676788,jp morgan
407,12-Jan-18,111.65,112.85,110.84,112.67,18884229,jp morgan
408,16-Jan-18,111.51,113.43,111.07,112.27,22703336,jp morgan
409,17-Jan-18,111.89,113.3,111.31,112.99,14940266,jp morgan
410,18-Jan-18,112.76,113.72,112.27,113.26,14572911,jp morgan
411,19-Jan-18,113.94,114.34,112.8,113.01,18785468,jp morgan
412,22-Jan-18,112.66,114.39,112.5,114.33,12475654,jp morgan
413,23-Jan-18,113.67,114.64,113.35,114.21,12320751,jp morgan
414,24-Jan-18,114.86,116,114.66,115.67,15904504,jp morgan
415,25-Jan-18,116.04,116.17,115.08,115.7,13509957,jp morgan
416,26-Jan-18,115.7,116.32,114.96,116.32,13883875,jp morgan
417,29-Jan-18,116.02,117.35,116.02,116.2,11679919,jp morgan
418,30-Jan-18,115.53,116.6,114.98,115.11,14279124,jp morgan
419,31-Jan-18,115.65,116.66,115.16,115.67,13141423,jp morgan
420,1-Feb-18,115.77,116.98,115.48,116.87,13800613,jp morgan
421,2-Feb-18,116.49,116.92,114.09,114.28,16477307,jp morgan
422,5-Feb-18,113,114.59,103.98,108.8,30097591,jp morgan
423,6-Feb-18,106.85,112.48,106.61,112.11,33114833,jp morgan
424,7-Feb-18,111.55,114.45,111.15,112.87,21878324,jp morgan
425,8-Feb-18,113.11,113.11,107.84,107.88,27425837,jp morgan
426,9-Feb-18,109.1,111.05,106.23,110.04,28188027,jp morgan
427,12-Feb-18,111.17,112.72,110.07,111.74,18043325,jp morgan
428,13-Feb-18,111.32,113.05,110.8,112.43,16358181,jp morgan
429,14-Feb-18,112.63,115.27,112.53,115.03,15186858,jp morgan
430,15-Feb-18,115.74,115.98,114.22,115.51,12130197,jp morgan
431,16-Feb-18,114.55,116.07,114.5,114.68,13214253,jp morgan
432,20-Feb-18,114.65,115.39,113.97,114.71,13461495,jp morgan
433,21-Feb-18,115,117.45,114.67,115.19,14212461,jp morgan
434,22-Feb-18,115.5,116.42,114.76,114.98,17070356,jp morgan
435,23-Feb-18,115.31,117.39,115.31,117.31,12162523,jp morgan
436,26-Feb-18,118.14,118.9,117.32,118.77,16511229,jp morgan
437,27-Feb-18,118.91,119.33,117.35,117.36,17563345,jp morgan
438,28-Feb-18,117.82,118.49,115.34,115.5,17735637,jp morgan
439,1-Mar-18,115.48,116.64,112.65,113.43,18690017,jp morgan
440,2-Mar-18,112.39,113.56,111.12,113.32,18353697,jp morgan
441,5-Mar-18,112.05,115.92,111.89,115.06,13933039,jp morgan
442,6-Mar-18,115.64,115.82,114.32,115.16,10674360,jp morgan
443,7-Mar-18,113.75,115.1,113.11,114.73,13006514,jp morgan
444,8-Mar-18,115.11,115.23,113.21,114.74,11173721,jp morgan
445,9-Mar-18,116.55,118.08,115.67,118.04,15366583,jp morgan
446,12-Mar-18,118,118.75,117.25,117.66,12090375,jp morgan
447,13-Mar-18,118.2,118.47,115.83,116.25,13312340,jp morgan
448,14-Mar-18,116.56,116.59,114.6,114.95,12905124,jp morgan
449,15-Mar-18,115.87,116,114.83,115.24,8747977,jp morgan
